RequirementId,RecordCount,FieldCount,DirectAbilityCount,DirectComponentCount,ParentRequirementCount,ChildRequirementCount,ContextTags,SampleAbilities,SemanticSummary,Notes
9012,1,4,1,1,0,0,,3514 (Distracting Bellow +Threat),direct ability usage 1; component sources 1.,Requirement rows: 1; direct abilities: 1; direct components: 1; parent requirements: 0; sample abilities: 3514 (Distracting Bellow +Threat).
9013,1,9,1,1,0,0,Damage,565 (I Stand Alone),Observed in Damage contexts; direct ability usage 1; component sources 1.,Requirement rows: 1; direct abilities: 1; direct components: 1; parent requirements: 0; sample abilities: 565 (I Stand Alone); context tags: Damage.
9014,1,11,0,0,0,0,,,No direct ability or component context is decoded yet.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0.
9015,1,10,0,1,1,0,,,component sources 1.,Requirement rows: 1; direct abilities: 0; direct components: 1; parent requirements: 1.
9016,1,10,0,0,1,0,,,referenced from 1 parent requirement row(s).,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 1.
9017,1,12,0,0,1,0,,,referenced from 1 parent requirement row(s).,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 1.
9018,1,6,0,0,0,0,,,No direct ability or component context is decoded yet.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0.
9019,1,17,0,0,0,3,,,"child requirement ids 9015, 9016, 9017.","Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0; child requirements: 9015, 9016, 9017."
9020,1,4,0,1,0,0,,,component sources 1.,Requirement rows: 1; direct abilities: 0; direct components: 1; parent requirements: 0.
9021,1,6,0,0,1,0,,,referenced from 1 parent requirement row(s).,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 1.
9022,1,13,0,0,1,0,,,referenced from 1 parent requirement row(s).,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 1.
9023,1,6,0,0,1,0,,,referenced from 1 parent requirement row(s).,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 1.
9024,1,5,0,0,1,0,,,referenced from 1 parent requirement row(s).,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 1.
9025,1,5,0,0,0,0,,,No direct ability or component context is decoded yet.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0.
9026,1,17,0,0,1,3,,,"child requirement ids 9021, 9022, 9023.","Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 1; child requirements: 9021, 9022, 9023."
9027,1,11,0,0,0,2,,,"child requirement ids 9024, 9026.","Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0; child requirements: 9024, 9026."
9028,1,14,0,2,0,0,,,component sources 2.,Requirement rows: 1; direct abilities: 0; direct components: 2; parent requirements: 0.
9029,1,4,0,0,0,0,,,No direct ability or component context is decoded yet.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0.
9030,1,14,0,0,0,0,,,No direct ability or component context is decoded yet.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0.
9031,1,10,0,0,0,1,,,child requirement ids 9052.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0; child requirements: 9052.
9032,1,5,0,0,1,0,,,referenced from 1 parent requirement row(s).,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 1.
9033,1,11,0,0,1,0,,,referenced from 1 parent requirement row(s).,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 1.
9034,1,5,0,0,1,0,,,referenced from 1 parent requirement row(s).,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 1.
9035,1,18,0,0,0,3,,,"child requirement ids 9032, 9033, 9034.","Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0; child requirements: 9032, 9033, 9034."
9036,1,35,0,0,1,0,,,referenced from 1 parent requirement row(s).,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 1.
9037,1,35,0,0,1,0,,,referenced from 1 parent requirement row(s).,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 1.
9038,1,11,6,1,0,2,"Damage, Snare","1450 (Retribution), 1463 (No Escape), 1465 (Inevitable Doom), 1762 (Bring It On), 1774 (Wot's Da Rush?), 1776 (Git To Da Choppa)","Observed in Damage, Snare contexts; direct ability usage 6; component sources 1; child requirement ids 9036, 9037.","Requirement rows: 1; direct abilities: 6; direct components: 1; parent requirements: 0; child requirements: 9036, 9037; sample abilities: 1450 (Retribution), 1463 (No Escape), 1465 (Inevitable Doom), 1762 (Bring It On), 1774 (Wot's Da Rush?), 1776 (Git To Da Choppa); context tags: Damage, Snare."
9039,1,9,0,0,0,0,,,No direct ability or component context is decoded yet.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0.
9040,1,4,0,0,0,0,,,No direct ability or component context is decoded yet.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0.
9041,1,9,0,0,0,0,,,No direct ability or component context is decoded yet.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0.
9042,1,5,0,0,0,0,,,No direct ability or component context is decoded yet.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0.
9043,1,9,0,0,1,0,,,referenced from 1 parent requirement row(s).,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 1.
9044,1,11,0,0,1,0,,,referenced from 1 parent requirement row(s).,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 1.
9045,1,11,0,0,0,2,,,"child requirement ids 9043, 9044.","Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0; child requirements: 9043, 9044."
9046,1,10,0,0,0,0,,,No direct ability or component context is decoded yet.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0.
9047,1,10,0,0,0,0,,,No direct ability or component context is decoded yet.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0.
9048,1,9,0,0,0,0,,,No direct ability or component context is decoded yet.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0.
9049,1,9,0,0,0,0,,,No direct ability or component context is decoded yet.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0.
9050,1,15,0,0,0,1,,,child requirement ids 9058.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0; child requirements: 9058.
9051,1,9,0,0,0,0,,,No direct ability or component context is decoded yet.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0.
9052,1,10,0,0,1,0,,,referenced from 1 parent requirement row(s).,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 1.
9053,1,10,0,0,0,0,,,No direct ability or component context is decoded yet.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0.
9054,1,23,0,0,1,0,,,referenced from 1 parent requirement row(s).,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 1.
9055,1,14,0,0,0,1,,,child requirement ids 9054.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0; child requirements: 9054.
9056,1,14,0,0,0,0,,,No direct ability or component context is decoded yet.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0.
9057,1,10,1,5,1,0,,3860 (Transference),direct ability usage 1; component sources 5.,Requirement rows: 1; direct abilities: 1; direct components: 5; parent requirements: 1; sample abilities: 3860 (Transference).
9058,1,10,0,0,1,0,,,referenced from 1 parent requirement row(s).,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 1.
9059,1,9,0,0,0,0,,,No direct ability or component context is decoded yet.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0.
9060,1,10,0,0,1,0,,,referenced from 1 parent requirement row(s).,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 1.
9061,1,5,0,0,1,0,,,referenced from 1 parent requirement row(s).,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 1.
9062,1,9,0,0,0,2,,,"child requirement ids 9060, 9061.","Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0; child requirements: 9060, 9061."
9063,1,5,0,0,0,0,,,No direct ability or component context is decoded yet.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0.
9064,1,5,0,0,0,0,,,No direct ability or component context is decoded yet.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0.
9065,1,9,1,1,0,0,,3948 (Taunt Events),direct ability usage 1; component sources 1.,Requirement rows: 1; direct abilities: 1; direct components: 1; parent requirements: 0; sample abilities: 3948 (Taunt Events).
9066,1,3,4,0,1,0,"Damage, Disarm","8086 (Confess!), 8405 (Death Grip), 8414 (Gut Ripper), 9400 (Sever Limb)","Observed in Damage, Disarm contexts; direct ability usage 4.","Requirement rows: 1; direct abilities: 4; direct components: 0; parent requirements: 1; sample abilities: 8086 (Confess!), 8405 (Death Grip), 8414 (Gut Ripper), 9400 (Sever Limb); context tags: Damage, Disarm."
9067,1,9,0,0,0,0,,,No direct ability or component context is decoded yet.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0.
9068,1,15,0,0,1,1,,,child requirement ids 9069.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 1; child requirements: 9069.
9069,1,29,0,0,2,5,,,"child requirement ids 9070, 9071, 9072, 9073, 9084.","Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 2; child requirements: 9070, 9071, 9072, 9073, 9084."
9070,1,10,0,0,1,0,,,referenced from 1 parent requirement row(s).,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 1.
9071,1,10,0,0,1,0,,,referenced from 1 parent requirement row(s).,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 1.
9072,1,10,0,0,1,0,,,referenced from 1 parent requirement row(s).,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 1.
9073,1,10,0,0,1,0,,,referenced from 1 parent requirement row(s).,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 1.
9074,1,12,0,0,1,1,,,child requirement ids 9069.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 1; child requirements: 9069.
9075,1,10,0,0,0,2,,,"child requirement ids 9068, 9074.","Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0; child requirements: 9068, 9074."
9076,1,4,2,0,1,0,Damage,"1690 (Ya Missed Me), 9321 (Spiteful Slam)",Observed in Damage contexts; direct ability usage 2.,"Requirement rows: 1; direct abilities: 2; direct components: 0; parent requirements: 1; sample abilities: 1690 (Ya Missed Me), 9321 (Spiteful Slam); context tags: Damage."
9077,1,10,0,0,1,0,,,referenced from 1 parent requirement row(s).,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 1.
9078,1,15,0,0,0,1,,,child requirement ids 9079.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0; child requirements: 9079.
9079,1,10,8,16,2,0,Damage,"1367 (Stubborn As Stone), 1372 (Watch An' Learn), 1380 (Oathbound), 1383 (Ancestor's Fury), 1386 (Runic Shield), 3821 (Guarded Attack), 3822 (Vengeful Strike), 3825 (Avenging The Debt)",Observed in Damage contexts; direct ability usage 8; component sources 16.,"Requirement rows: 1; direct abilities: 8; direct components: 16; parent requirements: 2; sample abilities: 1367 (Stubborn As Stone), 1372 (Watch An' Learn), 1380 (Oathbound), 1383 (Ancestor's Fury), 1386 (Runic Shield), 3821 (Guarded Attack), 3822 (Vengeful Strike), 3825 (Avenging The Debt); context tags: Damage."
9080,1,9,0,0,1,0,,,referenced from 1 parent requirement row(s).,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 1.
9081,1,10,0,0,1,0,,,referenced from 1 parent requirement row(s).,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 1.
9082,1,11,0,0,0,2,,,"child requirement ids 9080, 9081.","Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0; child requirements: 9080, 9081."
9083,1,5,0,0,0,0,,,No direct ability or component context is decoded yet.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0.
9084,1,10,0,0,1,0,,,referenced from 1 parent requirement row(s).,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 1.
9085,1,4,1,0,0,0,Damage,8412 (Mutated Energy),Observed in Damage contexts; direct ability usage 1.,Requirement rows: 1; direct abilities: 1; direct components: 0; parent requirements: 0; sample abilities: 8412 (Mutated Energy); context tags: Damage.
9086,1,11,1,2,0,0,,843 (Focused Insanity),direct ability usage 1; component sources 2.,Requirement rows: 1; direct abilities: 1; direct components: 2; parent requirements: 0; sample abilities: 843 (Focused Insanity).
9087,1,5,0,0,0,1,,,child requirement ids 9077.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0; child requirements: 9077.
9088,1,5,20,0,0,0,"Damage, Heal, Silence, Snare","1820 (Stabbity), 1821 (Plink), 1822 (Yer Bleedin'!), 1823 (What Blocka?), 1825 (Stop Runnin!), 1826 (Run 'n Shoot), 1829 (Cut Ya!), 1833 (Explodin' Arrer)","Observed in Damage, Heal, Silence, Snare contexts; direct ability usage 20.","Requirement rows: 1; direct abilities: 20; direct components: 0; parent requirements: 0; sample abilities: 1820 (Stabbity), 1821 (Plink), 1822 (Yer Bleedin'!), 1823 (What Blocka?), 1825 (Stop Runnin!), 1826 (Run 'n Shoot), 1829 (Cut Ya!), 1833 (Explodin' Arrer); context tags: Damage, Heal, Silence, Snare."
9089,1,15,0,2,0,0,,,component sources 2.,Requirement rows: 1; direct abilities: 0; direct components: 2; parent requirements: 0.
9090,1,33,1,1,0,0,,3665 (Stay Focused!),direct ability usage 1; component sources 1.,Requirement rows: 1; direct abilities: 1; direct components: 1; parent requirements: 0; sample abilities: 3665 (Stay Focused!).
9091,1,5,4,3,0,0,,"14157 (Fireball), 14301 (Fireball), 14302 (Shot), 14303 (Arrow)",direct ability usage 4; component sources 3.,"Requirement rows: 1; direct abilities: 4; direct components: 3; parent requirements: 0; sample abilities: 14157 (Fireball), 14301 (Fireball), 14302 (Shot), 14303 (Arrow)."
9092,1,5,8,10,0,0,Damage,"6 (Death From Above), 1443 (Incapacitate), 1755 (Sit Down!), 3650 (Oath Rune of Sanctuary), 8412 (Mutated Energy), 8423 (Concussive Jolt), 13262 (Smash), 15509 (Ground Stomp)",Observed in Damage contexts; direct ability usage 8; component sources 10.,"Requirement rows: 1; direct abilities: 8; direct components: 10; parent requirements: 0; sample abilities: 6 (Death From Above), 1443 (Incapacitate), 1755 (Sit Down!), 3650 (Oath Rune of Sanctuary), 8412 (Mutated Energy), 8423 (Concussive Jolt), 13262 (Smash), 15509 (Ground Stomp); context tags: Damage."
9093,1,5,5,5,0,0,Root,"122 (Grasp of the Dead), 3631 (Crippling Bomb), 4800 (Grasp of the Dead), 5209 (Rattling Bones), 13003 (Grasp of the Dead)",Observed in Root contexts; direct ability usage 5; component sources 5.,"Requirement rows: 1; direct abilities: 5; direct components: 5; parent requirements: 0; sample abilities: 122 (Grasp of the Dead), 3631 (Crippling Bomb), 4800 (Grasp of the Dead), 5209 (Rattling Bones), 13003 (Grasp of the Dead); context tags: Root."
9094,1,9,8,11,1,0,"Damage, Silence","885 (Deafening Waaagh!), 906 (Deafening Waaagh!), 3218 (You Got Nuthin!), 8607 (Suppressing The Fragile Unbelievers), 9253 (Law of Gold), 9304 (Arcane Suppression), 27677 (Silence!), 27709 (Silence!)","Observed in Damage, Silence contexts; direct ability usage 8; component sources 11.","Requirement rows: 1; direct abilities: 8; direct components: 11; parent requirements: 1; sample abilities: 885 (Deafening Waaagh!), 906 (Deafening Waaagh!), 3218 (You Got Nuthin!), 8607 (Suppressing The Fragile Unbelievers), 9253 (Law of Gold), 9304 (Arcane Suppression), 27677 (Silence!), 27709 (Silence!); context tags: Damage, Silence."
9095,1,5,1,1,1,0,Disarm,8405 (Death Grip),Observed in Disarm contexts; direct ability usage 1; component sources 1.,Requirement rows: 1; direct abilities: 1; direct components: 1; parent requirements: 1; sample abilities: 8405 (Death Grip); context tags: Disarm.
9096,1,5,0,3,0,0,,,component sources 3.,Requirement rows: 1; direct abilities: 0; direct components: 3; parent requirements: 0.
9097,1,9,0,0,0,0,,,No direct ability or component context is decoded yet.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0.
9098,1,10,0,0,0,0,,,No direct ability or component context is decoded yet.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0.
9099,1,10,0,0,0,0,,,No direct ability or component context is decoded yet.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0.
9100,1,15,172,212,0,0,"Damage, Heal","12 (Spore Cloud), 74 (Sub Test), 97 (Channel Test: Maintain), 694 (Divine Favor), 1409 (Avalanche), 1488 (Takin' Chances), 1544 (Bugman's Best), 1586 (Rune of Striking)","Observed in Damage, Heal contexts; direct ability usage 172; component sources 212.","Requirement rows: 1; direct abilities: 172; direct components: 212; parent requirements: 0; sample abilities: 12 (Spore Cloud), 74 (Sub Test), 97 (Channel Test: Maintain), 694 (Divine Favor), 1409 (Avalanche), 1488 (Takin' Chances), 1544 (Bugman's Best), 1586 (Rune of Striking); context tags: Damage, Heal."
9101,1,6,11,9,0,0,"Damage, Heal","697 (Alter Fate), 1598 (Rune of Life), 1619 (Grimnir's Fury), 1908 (Gedup!), 8248 (Breath of Sigmar), 8555 (Tzeentch Shall Remake You), 9246 (Gift of Life), 9558 (Stand, Coward!)","Observed in Damage, Heal contexts; direct ability usage 11; component sources 9.","Requirement rows: 1; direct abilities: 11; direct components: 9; parent requirements: 0; sample abilities: 697 (Alter Fate), 1598 (Rune of Life), 1619 (Grimnir's Fury), 1908 (Gedup!), 8248 (Breath of Sigmar), 8555 (Tzeentch Shall Remake You), 9246 (Gift of Life), 9558 (Stand, Coward!); context tags: Damage, Heal."
9102,1,10,0,0,0,0,,,No direct ability or component context is decoded yet.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0.
9103,1,29,0,1,0,0,,,component sources 1.,Requirement rows: 1; direct abilities: 0; direct components: 1; parent requirements: 0.
9104,1,14,0,1,0,0,,,component sources 1.,Requirement rows: 1; direct abilities: 0; direct components: 1; parent requirements: 0.
9105,1,10,0,0,1,0,,,referenced from 1 parent requirement row(s).,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 1.
9106,1,11,0,0,1,0,,,referenced from 1 parent requirement row(s).,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 1.
9107,1,11,0,0,0,2,,,"child requirement ids 9105, 9106.","Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0; child requirements: 9105, 9106."
9108,1,10,0,0,1,0,,,referenced from 1 parent requirement row(s).,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 1.
9109,1,11,0,0,1,0,,,referenced from 1 parent requirement row(s).,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 1.
9110,1,11,0,0,0,2,,,"child requirement ids 9108, 9109.","Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0; child requirements: 9108, 9109."
9111,1,9,0,0,1,0,,,referenced from 1 parent requirement row(s).,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 1.
9112,1,11,0,0,1,0,,,referenced from 1 parent requirement row(s).,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 1.
9113,1,11,0,0,0,2,,,"child requirement ids 9111, 9112.","Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0; child requirements: 9111, 9112."
9114,1,17,1,0,0,0,Damage,8116 (Burn Away Lies),Observed in Damage contexts; direct ability usage 1.,Requirement rows: 1; direct abilities: 1; direct components: 0; parent requirements: 0; sample abilities: 8116 (Burn Away Lies); context tags: Damage.
9115,1,10,0,0,0,0,,,No direct ability or component context is decoded yet.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0.
9116,1,10,0,0,1,0,,,referenced from 1 parent requirement row(s).,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 1.
9117,1,11,0,0,1,0,,,referenced from 1 parent requirement row(s).,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 1.
9118,1,11,0,4,0,2,,,"component sources 4; child requirement ids 9116, 9117.","Requirement rows: 1; direct abilities: 0; direct components: 4; parent requirements: 0; child requirements: 9116, 9117."
9119,1,11,5,1,3,0,"Damage, Heal","3041 (Gift of Savagery), 8401 (Tainted Claw), 8414 (Gut Ripper), 8418 (Cutting Claw), 8419 (Draining Swipe)","Observed in Damage, Heal contexts; direct ability usage 5; component sources 1.","Requirement rows: 1; direct abilities: 5; direct components: 1; parent requirements: 3; sample abilities: 3041 (Gift of Savagery), 8401 (Tainted Claw), 8414 (Gut Ripper), 8418 (Cutting Claw), 8419 (Draining Swipe); context tags: Damage, Heal."
9120,1,11,5,1,3,0,"Damage, Heal","3042 (Gift of Brutality), 8399 (Impale), 8406 (Convulsive Slashing), 8420 (Guillotine), 8422 (Wave of Terror)","Observed in Damage, Heal contexts; direct ability usage 5; component sources 1.","Requirement rows: 1; direct abilities: 5; direct components: 1; parent requirements: 3; sample abilities: 3042 (Gift of Brutality), 8399 (Impale), 8406 (Convulsive Slashing), 8420 (Guillotine), 8422 (Wave of Terror); context tags: Damage, Heal."
9121,1,11,3,1,3,0,Damage,"3043 (Gift of Monstrosity), 8409 (Demolition), 8425 (Wrecking Ball)",Observed in Damage contexts; direct ability usage 3; component sources 1.,"Requirement rows: 1; direct abilities: 3; direct components: 1; parent requirements: 3; sample abilities: 3043 (Gift of Monstrosity), 8409 (Demolition), 8425 (Wrecking Ball); context tags: Damage."
9122,1,17,4,2,0,3,Damage,"3615 (Chaotic Disruption), 8392 (Flail), 8415 (Gift of Release), 8439 (Exhaustive Strikes)","Observed in Damage contexts; direct ability usage 4; component sources 2; child requirement ids 9119, 9120, 9121.","Requirement rows: 1; direct abilities: 4; direct components: 2; parent requirements: 0; child requirements: 9119, 9120, 9121; sample abilities: 3615 (Chaotic Disruption), 8392 (Flail), 8415 (Gift of Release), 8439 (Exhaustive Strikes); context tags: Damage."
9123,1,5,0,3,0,0,,,component sources 3.,Requirement rows: 1; direct abilities: 0; direct components: 3; parent requirements: 0.
9124,1,5,0,4,0,0,,,component sources 4.,Requirement rows: 1; direct abilities: 0; direct components: 4; parent requirements: 0.
9125,1,9,0,2,0,0,,,component sources 2.,Requirement rows: 1; direct abilities: 0; direct components: 2; parent requirements: 0.
9126,1,10,0,0,1,0,,,referenced from 1 parent requirement row(s).,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 1.
9127,1,11,0,0,0,1,,,child requirement ids 9126.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0; child requirements: 9126.
9128,1,10,0,0,1,0,,,referenced from 1 parent requirement row(s).,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 1.
9129,1,11,0,1,0,1,,,component sources 1; child requirement ids 9128.,Requirement rows: 1; direct abilities: 0; direct components: 1; parent requirements: 0; child requirements: 9128.
9130,1,10,0,0,1,0,,,referenced from 1 parent requirement row(s).,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 1.
9131,1,11,0,0,0,1,,,child requirement ids 9130.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0; child requirements: 9130.
9132,1,15,0,0,0,0,,,No direct ability or component context is decoded yet.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0.
9133,1,16,0,0,0,0,,,No direct ability or component context is decoded yet.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0.
9134,1,11,0,0,0,0,,,No direct ability or component context is decoded yet.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0.
9135,1,11,2,2,0,2,"Disarm, Silence","124 (Raven’s Bite), 4802 (Ravens Bite)","Observed in Disarm, Silence contexts; direct ability usage 2; component sources 2; child requirement ids 9094, 9095.","Requirement rows: 1; direct abilities: 2; direct components: 2; parent requirements: 0; child requirements: 9094, 9095; sample abilities: 124 (Raven’s Bite), 4802 (Ravens Bite); context tags: Disarm, Silence."
9136,1,10,1,1,0,0,Damage,994 (Shared Fate),Observed in Damage contexts; direct ability usage 1; component sources 1.,Requirement rows: 1; direct abilities: 1; direct components: 1; parent requirements: 0; sample abilities: 994 (Shared Fate); context tags: Damage.
9137,1,10,1,1,0,0,"Damage, Heal",973 (Bond Of Desperation),"Observed in Damage, Heal contexts; direct ability usage 1; component sources 1.","Requirement rows: 1; direct abilities: 1; direct components: 1; parent requirements: 0; sample abilities: 973 (Bond Of Desperation); context tags: Damage, Heal."
9138,1,11,0,0,0,0,,,No direct ability or component context is decoded yet.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0.
9139,1,16,0,0,0,1,,,child requirement ids 9140.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0; child requirements: 9140.
9140,1,11,0,0,1,0,,,referenced from 1 parent requirement row(s).,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 1.
9141,1,10,1,1,0,0,,490 (Shared Badge Components),direct ability usage 1; component sources 1.,Requirement rows: 1; direct abilities: 1; direct components: 1; parent requirements: 0; sample abilities: 490 (Shared Badge Components).
9142,1,9,0,0,0,0,,,No direct ability or component context is decoded yet.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0.
9143,1,10,1,5,0,1,,9128 (Leading Shots),direct ability usage 1; component sources 5; child requirement ids 9153.,Requirement rows: 1; direct abilities: 1; direct components: 5; parent requirements: 0; child requirements: 9153; sample abilities: 9128 (Leading Shots).
9144,1,9,0,0,0,0,,,No direct ability or component context is decoded yet.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0.
