RequirementId,FieldKey,NonZeroCount,DistinctValueCount,SampleValues,SemanticSummary,Confidence,Notes
9005,ExtData[0].Val7,1,1,21,Operation-specific auxiliary parameter. Position confirmed from decompiled client ExtData schema.,Inferred,
9005,ExtData[1].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9005,ExtData[1].Val2,1,1,12,AbilityOperation: 12=AbilityType.,Confirmed,
9005,ExtData[1].Val3,1,1,1,AbilityCondition: 1=Equal.,Confirmed,
9005,ExtData[1].Val7,1,1,1,Operation-specific auxiliary parameter. Position confirmed from decompiled client ExtData schema.,Inferred,
9006,ExtData[0].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9006,ExtData[0].Val2,1,1,9,AbilityOperation: 9=Random.,Confirmed,
9006,ExtData[0].Val3,1,1,4,AbilityCondition: 4=LessThanEqual.,Confirmed,
9006,ExtData[0].Val4,1,1,8,AbilityLogicOperator: 8=And.,Confirmed,
9006,ExtData[0].Val6,1,1,100,"Operation-specific reference value (RequirementId child link, ability ID, monster type, or other reference depending on AbilityOperation). Position confirmed from decompiled client ExtData schema.",Inferred,
9006,ExtData[0].Val7,1,1,6,Operation-specific auxiliary parameter. Position confirmed from decompiled client ExtData schema.,Inferred,
9006,ExtData[1].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9006,ExtData[1].Val2,1,1,12,AbilityOperation: 12=AbilityType.,Confirmed,
9006,ExtData[1].Val3,1,1,1,AbilityCondition: 1=Equal.,Confirmed,
9006,ExtData[1].Val7,1,1,2,Operation-specific auxiliary parameter. Position confirmed from decompiled client ExtData schema.,Inferred,
9007,ExtData[0].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9007,ExtData[0].Val2,1,1,9,AbilityOperation: 9=Random.,Confirmed,
9007,ExtData[0].Val3,1,1,4,AbilityCondition: 4=LessThanEqual.,Confirmed,
9007,ExtData[0].Val6,1,1,100,"Operation-specific reference value (RequirementId child link, ability ID, monster type, or other reference depending on AbilityOperation). Position confirmed from decompiled client ExtData schema.",Inferred,
9007,ExtData[0].Val7,1,1,99,Operation-specific auxiliary parameter. Position confirmed from decompiled client ExtData schema.,Inferred,
9008,ExtData[0].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9008,ExtData[0].Val2,1,1,9,AbilityOperation: 9=Random.,Confirmed,
9008,ExtData[0].Val3,1,1,4,AbilityCondition: 4=LessThanEqual.,Confirmed,
9008,ExtData[0].Val4,1,1,8,AbilityLogicOperator: 8=And.,Confirmed,
9008,ExtData[0].Val6,1,1,100,"Operation-specific reference value (RequirementId child link, ability ID, monster type, or other reference depending on AbilityOperation). Position confirmed from decompiled client ExtData schema.",Inferred,
9008,ExtData[0].Val7,1,1,16,Operation-specific auxiliary parameter. Position confirmed from decompiled client ExtData schema.,Inferred,
9008,ExtData[1].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9008,ExtData[1].Val2,1,1,12,AbilityOperation: 12=AbilityType.,Confirmed,
9008,ExtData[1].Val3,1,1,1,AbilityCondition: 1=Equal.,Confirmed,
9008,ExtData[1].Val7,1,1,2,Operation-specific auxiliary parameter. Position confirmed from decompiled client ExtData schema.,Inferred,
9009,ExtData[0].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9009,ExtData[0].Val2,1,1,44,AbilityOperation: 44=EquippedInventorySlot.,Confirmed,
9009,ExtData[0].Val3,1,1,1,AbilityCondition: 1=Equal.,Confirmed,
9009,ExtData[0].Val4,1,1,9,AbilityLogicOperator: 9=Or.,Confirmed,
9009,ExtData[0].Val6,1,1,11,"Operation-specific reference value (RequirementId child link, ability ID, monster type, or other reference depending on AbilityOperation). Position confirmed from decompiled client ExtData schema.",Inferred,
9009,ExtData[0].Val7,1,1,4,Operation-specific auxiliary parameter. Position confirmed from decompiled client ExtData schema.,Inferred,
9009,ExtData[1].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9009,ExtData[1].Val2,1,1,44,AbilityOperation: 44=EquippedInventorySlot.,Confirmed,
9009,ExtData[1].Val3,1,1,1,AbilityCondition: 1=Equal.,Confirmed,
9009,ExtData[1].Val4,1,1,9,AbilityLogicOperator: 9=Or.,Confirmed,
9009,ExtData[1].Val6,1,1,11,"Operation-specific reference value (RequirementId child link, ability ID, monster type, or other reference depending on AbilityOperation). Position confirmed from decompiled client ExtData schema.",Inferred,
9009,ExtData[1].Val7,1,1,5,Operation-specific auxiliary parameter. Position confirmed from decompiled client ExtData schema.,Inferred,
9009,ExtData[2].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9009,ExtData[2].Val2,1,1,44,AbilityOperation: 44=EquippedInventorySlot.,Confirmed,
9009,ExtData[2].Val3,1,1,1,AbilityCondition: 1=Equal.,Confirmed,
9009,ExtData[2].Val6,1,1,11,"Operation-specific reference value (RequirementId child link, ability ID, monster type, or other reference depending on AbilityOperation). Position confirmed from decompiled client ExtData schema.",Inferred,
9009,ExtData[2].Val7,1,1,10,Operation-specific auxiliary parameter. Position confirmed from decompiled client ExtData schema.,Inferred,
9010,ExtData[0].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9010,ExtData[0].Val2,1,1,86,AbilityOperation: 86=Unk86.,Confirmed,
9010,ExtData[0].Val3,1,1,1,AbilityCondition: 1=Equal.,Confirmed,
9010,ExtData[0].Val7,1,1,3,Operation-specific auxiliary parameter. Position confirmed from decompiled client ExtData schema.,Inferred,
9011,ExtData[0].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9011,ExtData[0].Val2,1,1,86,AbilityOperation: 86=Unk86.,Confirmed,
9011,ExtData[0].Val3,1,1,1,AbilityCondition: 1=Equal.,Confirmed,
9011,ExtData[0].Val7,1,1,1,Operation-specific auxiliary parameter. Position confirmed from decompiled client ExtData schema.,Inferred,
9012,ExtData[0].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9012,ExtData[0].Val2,1,1,86,AbilityOperation: 86=Unk86.,Confirmed,
9012,ExtData[0].Val3,1,1,1,AbilityCondition: 1=Equal.,Confirmed,
9012,ExtData[0].Val7,1,1,2,Operation-specific auxiliary parameter. Position confirmed from decompiled client ExtData schema.,Inferred,
9013,ExtData[0].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9013,ExtData[0].Val2,1,1,1,AbilityOperation: 1=FriendlyTargeted.,Confirmed,
9013,ExtData[0].Val3,1,1,1,AbilityCondition: 1=Equal.,Confirmed,
9013,ExtData[0].Val4,1,1,8,AbilityLogicOperator: 8=And.,Confirmed,
9013,ExtData[0].Val7,1,1,1,Operation-specific auxiliary parameter. Position confirmed from decompiled client ExtData schema.,Inferred,
9013,ExtData[1].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9013,ExtData[1].Val2,1,1,4,AbilityOperation: 4=Range.,Confirmed,
9013,ExtData[1].Val3,1,1,4,AbilityCondition: 4=LessThanEqual.,Confirmed,
9013,ExtData[1].Val7,1,1,480,Operation-specific auxiliary parameter. Position confirmed from decompiled client ExtData schema.,Inferred,
9014,ExtData[0].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9014,ExtData[0].Val2,1,1,6,AbilityOperation: 6=BuffGroupCount.,Confirmed,
9014,ExtData[0].Val3,1,1,3,AbilityCondition: 3=Unk3.,Confirmed,
9014,ExtData[0].Val4,1,1,8,AbilityLogicOperator: 8=And.,Confirmed,
9014,ExtData[0].Val6,1,1,50,"Operation-specific reference value (RequirementId child link, ability ID, monster type, or other reference depending on AbilityOperation). Position confirmed from decompiled client ExtData schema.",Inferred,
9014,ExtData[0].Val7,1,1,7,Operation-specific auxiliary parameter. Position confirmed from decompiled client ExtData schema.,Inferred,
9014,ExtData[1].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9014,ExtData[1].Val2,1,1,6,AbilityOperation: 6=BuffGroupCount.,Confirmed,
9014,ExtData[1].Val3,1,1,1,AbilityCondition: 1=Equal.,Confirmed,
9014,ExtData[1].Val6,1,1,51,"Operation-specific reference value (RequirementId child link, ability ID, monster type, or other reference depending on AbilityOperation). Position confirmed from decompiled client ExtData schema.",Inferred,
9014,ExtData[1].Val7,1,1,1,Operation-specific auxiliary parameter. Position confirmed from decompiled client ExtData schema.,Inferred,
9015,ExtData[0].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9015,ExtData[0].Val2,1,1,11,AbilityOperation: 11=TargetActivatedComponent.,Confirmed,
9015,ExtData[0].Val3,1,1,1,AbilityCondition: 1=Equal.,Confirmed,
9015,ExtData[0].Val4,1,1,9,AbilityLogicOperator: 9=Or.,Confirmed,
9015,ExtData[0].Val5,1,1,3,Operation-specific threshold or comparison value (semantics depend on AbilityOperation). Position confirmed from decompiled client ExtData schema.,Inferred,
9015,ExtData[1].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9015,ExtData[1].Val2,1,1,6,AbilityOperation: 6=BuffGroupCount.,Confirmed,
9015,ExtData[1].Val3,1,1,6,AbilityCondition: 6=LessThan.,Confirmed,
9015,ExtData[1].Val5,1,1,3,Operation-specific threshold or comparison value (semantics depend on AbilityOperation). Position confirmed from decompiled client ExtData schema.,Inferred,
9015,ExtData[1].Val6,1,1,82,"Operation-specific reference value (RequirementId child link, ability ID, monster type, or other reference depending on AbilityOperation). Position confirmed from decompiled client ExtData schema.",Inferred,
9016,ExtData[0].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9016,ExtData[0].Val2,1,1,21,AbilityOperation: 21=TargetBackSide.,Confirmed,
9016,ExtData[0].Val3,1,1,6,AbilityCondition: 6=LessThan.,Confirmed,
9016,ExtData[0].Val4,1,1,9,AbilityLogicOperator: 9=Or.,Confirmed,
9016,ExtData[0].Val7,1,1,1,Operation-specific auxiliary parameter. Position confirmed from decompiled client ExtData schema.,Inferred,
9016,ExtData[1].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9016,ExtData[1].Val2,1,1,6,AbilityOperation: 6=BuffGroupCount.,Confirmed,
9016,ExtData[1].Val3,1,1,1,AbilityCondition: 1=Equal.,Confirmed,
9016,ExtData[1].Val6,1,1,237,"Operation-specific reference value (RequirementId child link, ability ID, monster type, or other reference depending on AbilityOperation). Position confirmed from decompiled client ExtData schema.",Inferred,
9016,ExtData[1].Val7,1,1,1,Operation-specific auxiliary parameter. Position confirmed from decompiled client ExtData schema.,Inferred,
9017,ExtData[0].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9017,ExtData[0].Val2,1,1,6,AbilityOperation: 6=BuffGroupCount.,Confirmed,
9017,ExtData[0].Val3,1,1,1,AbilityCondition: 1=Equal.,Confirmed,
9017,ExtData[0].Val4,1,1,8,AbilityLogicOperator: 8=And.,Confirmed,
9017,ExtData[0].Val5,1,1,1,Operation-specific threshold or comparison value (semantics depend on AbilityOperation). Position confirmed from decompiled client ExtData schema.,Inferred,
9017,ExtData[0].Val6,1,1,60,"Operation-specific reference value (RequirementId child link, ability ID, monster type, or other reference depending on AbilityOperation). Position confirmed from decompiled client ExtData schema.",Inferred,
9017,ExtData[1].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9017,ExtData[1].Val2,1,1,6,AbilityOperation: 6=BuffGroupCount.,Confirmed,
9017,ExtData[1].Val3,1,1,1,AbilityCondition: 1=Equal.,Confirmed,
9017,ExtData[1].Val5,1,1,1,Operation-specific threshold or comparison value (semantics depend on AbilityOperation). Position confirmed from decompiled client ExtData schema.,Inferred,
9017,ExtData[1].Val6,1,1,61,"Operation-specific reference value (RequirementId child link, ability ID, monster type, or other reference depending on AbilityOperation). Position confirmed from decompiled client ExtData schema.",Inferred,
9017,ExtData[1].Val7,1,1,1,Operation-specific auxiliary parameter. Position confirmed from decompiled client ExtData schema.,Inferred,
9018,ExtData[0].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9018,ExtData[0].Val2,1,1,6,AbilityOperation: 6=BuffGroupCount.,Confirmed,
9018,ExtData[0].Val3,1,1,4,AbilityCondition: 4=LessThanEqual.,Confirmed,
9018,ExtData[0].Val5,1,1,1,Operation-specific threshold or comparison value (semantics depend on AbilityOperation). Position confirmed from decompiled client ExtData schema.,Inferred,
9018,ExtData[0].Val6,1,1,60,"Operation-specific reference value (RequirementId child link, ability ID, monster type, or other reference depending on AbilityOperation). Position confirmed from decompiled client ExtData schema.",Inferred,
9018,ExtData[0].Val7,1,1,2,Operation-specific auxiliary parameter. Position confirmed from decompiled client ExtData schema.,Inferred,
9019,ExtData[0].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9019,ExtData[0].Val2,1,1,10,AbilityOperation: 10=RequirmentGroupCheck.,Confirmed,
9019,ExtData[0].Val3,1,1,1,AbilityCondition: 1=Equal.,Confirmed,
9019,ExtData[0].Val4,1,1,9,AbilityLogicOperator: 9=Or.,Confirmed,
9019,ExtData[0].Val6,1,1,9015,Every distinct observed value in this field matches a known RequirementId row.,Inferred,Example requirement ids: 9015.
9019,ExtData[0].Val7,1,1,1,Operation-specific auxiliary parameter. Position confirmed from decompiled client ExtData schema.,Inferred,
9019,ExtData[1].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9019,ExtData[1].Val2,1,1,10,AbilityOperation: 10=RequirmentGroupCheck.,Confirmed,
9019,ExtData[1].Val3,1,1,1,AbilityCondition: 1=Equal.,Confirmed,
9019,ExtData[1].Val4,1,1,9,AbilityLogicOperator: 9=Or.,Confirmed,
9019,ExtData[1].Val6,1,1,9016,Every distinct observed value in this field matches a known RequirementId row.,Inferred,Example requirement ids: 9016.
9019,ExtData[1].Val7,1,1,1,Operation-specific auxiliary parameter. Position confirmed from decompiled client ExtData schema.,Inferred,
9019,ExtData[2].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9019,ExtData[2].Val2,1,1,10,AbilityOperation: 10=RequirmentGroupCheck.,Confirmed,
9019,ExtData[2].Val3,1,1,1,AbilityCondition: 1=Equal.,Confirmed,
9019,ExtData[2].Val6,1,1,9017,Every distinct observed value in this field matches a known RequirementId row.,Inferred,Example requirement ids: 9017.
9019,ExtData[2].Val7,1,1,1,Operation-specific auxiliary parameter. Position confirmed from decompiled client ExtData schema.,Inferred,
9020,ExtData[0].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9020,ExtData[0].Val2,1,1,13,AbilityOperation: 13=SpellConvention.,Confirmed,
9020,ExtData[0].Val3,1,1,1,AbilityCondition: 1=Equal.,Confirmed,
9020,ExtData[0].Val7,1,1,12,Operation-specific auxiliary parameter. Position confirmed from decompiled client ExtData schema.,Inferred,
9021,ExtData[0].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9021,ExtData[0].Val2,1,1,6,AbilityOperation: 6=BuffGroupCount.,Confirmed,
9021,ExtData[0].Val3,1,1,5,AbilityCondition: 5=GreaterThanEqual.,Confirmed,
9021,ExtData[0].Val5,1,1,1,Operation-specific threshold or comparison value (semantics depend on AbilityOperation). Position confirmed from decompiled client ExtData schema.,Inferred,
9021,ExtData[0].Val6,1,1,60,"Operation-specific reference value (RequirementId child link, ability ID, monster type, or other reference depending on AbilityOperation). Position confirmed from decompiled client ExtData schema.",Inferred,
9021,ExtData[0].Val7,1,1,2,Operation-specific auxiliary parameter. Position confirmed from decompiled client ExtData schema.,Inferred,
9022,ExtData[0].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9022,ExtData[0].Val2,1,1,6,AbilityOperation: 6=BuffGroupCount.,Confirmed,
9022,ExtData[0].Val3,1,1,1,AbilityCondition: 1=Equal.,Confirmed,
9022,ExtData[0].Val4,1,1,8,AbilityLogicOperator: 8=And.,Confirmed,
9022,ExtData[0].Val5,1,1,1,Operation-specific threshold or comparison value (semantics depend on AbilityOperation). Position confirmed from decompiled client ExtData schema.,Inferred,
9022,ExtData[0].Val6,1,1,60,"Operation-specific reference value (RequirementId child link, ability ID, monster type, or other reference depending on AbilityOperation). Position confirmed from decompiled client ExtData schema.",Inferred,
9022,ExtData[0].Val7,1,1,1,Operation-specific auxiliary parameter. Position confirmed from decompiled client ExtData schema.,Inferred,
9022,ExtData[1].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9022,ExtData[1].Val2,1,1,6,AbilityOperation: 6=BuffGroupCount.,Confirmed,
9022,ExtData[1].Val3,1,1,1,AbilityCondition: 1=Equal.,Confirmed,
9022,ExtData[1].Val5,1,1,1,Operation-specific threshold or comparison value (semantics depend on AbilityOperation). Position confirmed from decompiled client ExtData schema.,Inferred,
9022,ExtData[1].Val6,1,1,61,"Operation-specific reference value (RequirementId child link, ability ID, monster type, or other reference depending on AbilityOperation). Position confirmed from decompiled client ExtData schema.",Inferred,
9022,ExtData[1].Val7,1,1,1,Operation-specific auxiliary parameter. Position confirmed from decompiled client ExtData schema.,Inferred,
9023,ExtData[0].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9023,ExtData[0].Val2,1,1,6,AbilityOperation: 6=BuffGroupCount.,Confirmed,
9023,ExtData[0].Val3,1,1,5,AbilityCondition: 5=GreaterThanEqual.,Confirmed,
9023,ExtData[0].Val5,1,1,1,Operation-specific threshold or comparison value (semantics depend on AbilityOperation). Position confirmed from decompiled client ExtData schema.,Inferred,
9023,ExtData[0].Val6,1,1,61,"Operation-specific reference value (RequirementId child link, ability ID, monster type, or other reference depending on AbilityOperation). Position confirmed from decompiled client ExtData schema.",Inferred,
9023,ExtData[0].Val7,1,1,2,Operation-specific auxiliary parameter. Position confirmed from decompiled client ExtData schema.,Inferred,
9024,ExtData[0].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9024,ExtData[0].Val2,1,1,8,AbilityOperation: 8=GetGroupOnAbilityUsed.,Confirmed,
9024,ExtData[0].Val3,1,1,1,AbilityCondition: 1=Equal.,Confirmed,
9024,ExtData[0].Val6,1,1,62,"Operation-specific reference value (RequirementId child link, ability ID, monster type, or other reference depending on AbilityOperation). Position confirmed from decompiled client ExtData schema.",Inferred,
9024,ExtData[0].Val7,1,1,1,Operation-specific auxiliary parameter. Position confirmed from decompiled client ExtData schema.,Inferred,
9025,ExtData[0].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9025,ExtData[0].Val2,1,1,8,AbilityOperation: 8=GetGroupOnAbilityUsed.,Confirmed,
9025,ExtData[0].Val3,1,1,1,AbilityCondition: 1=Equal.,Confirmed,
9025,ExtData[0].Val6,1,1,63,"Operation-specific reference value (RequirementId child link, ability ID, monster type, or other reference depending on AbilityOperation). Position confirmed from decompiled client ExtData schema.",Inferred,
9025,ExtData[0].Val7,1,1,1,Operation-specific auxiliary parameter. Position confirmed from decompiled client ExtData schema.,Inferred,
9026,ExtData[0].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9026,ExtData[0].Val2,1,1,10,AbilityOperation: 10=RequirmentGroupCheck.,Confirmed,
9026,ExtData[0].Val3,1,1,1,AbilityCondition: 1=Equal.,Confirmed,
9026,ExtData[0].Val4,1,1,9,AbilityLogicOperator: 9=Or.,Confirmed,
9026,ExtData[0].Val6,1,1,9021,Every distinct observed value in this field matches a known RequirementId row.,Inferred,Example requirement ids: 9021.
9026,ExtData[0].Val7,1,1,1,Operation-specific auxiliary parameter. Position confirmed from decompiled client ExtData schema.,Inferred,
9026,ExtData[1].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9026,ExtData[1].Val2,1,1,10,AbilityOperation: 10=RequirmentGroupCheck.,Confirmed,
9026,ExtData[1].Val3,1,1,1,AbilityCondition: 1=Equal.,Confirmed,
9026,ExtData[1].Val4,1,1,9,AbilityLogicOperator: 9=Or.,Confirmed,
9026,ExtData[1].Val6,1,1,9022,Every distinct observed value in this field matches a known RequirementId row.,Inferred,Example requirement ids: 9022.
9026,ExtData[1].Val7,1,1,1,Operation-specific auxiliary parameter. Position confirmed from decompiled client ExtData schema.,Inferred,
9026,ExtData[2].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9026,ExtData[2].Val2,1,1,10,AbilityOperation: 10=RequirmentGroupCheck.,Confirmed,
9026,ExtData[2].Val3,1,1,1,AbilityCondition: 1=Equal.,Confirmed,
9026,ExtData[2].Val6,1,1,9023,Every distinct observed value in this field matches a known RequirementId row.,Inferred,Example requirement ids: 9023.
9026,ExtData[2].Val7,1,1,1,Operation-specific auxiliary parameter. Position confirmed from decompiled client ExtData schema.,Inferred,
9027,ExtData[0].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9027,ExtData[0].Val2,1,1,10,AbilityOperation: 10=RequirmentGroupCheck.,Confirmed,
9027,ExtData[0].Val3,1,1,1,AbilityCondition: 1=Equal.,Confirmed,
9027,ExtData[0].Val4,1,1,8,AbilityLogicOperator: 8=And.,Confirmed,
9027,ExtData[0].Val6,1,1,9024,Every distinct observed value in this field matches a known RequirementId row.,Inferred,Example requirement ids: 9024.
9027,ExtData[0].Val7,1,1,1,Operation-specific auxiliary parameter. Position confirmed from decompiled client ExtData schema.,Inferred,
9027,ExtData[1].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9027,ExtData[1].Val2,1,1,10,AbilityOperation: 10=RequirmentGroupCheck.,Confirmed,
9027,ExtData[1].Val3,1,1,1,AbilityCondition: 1=Equal.,Confirmed,
9027,ExtData[1].Val6,1,1,9026,Every distinct observed value in this field matches a known RequirementId row.,Inferred,Example requirement ids: 9026.
9027,ExtData[1].Val7,1,1,1,Operation-specific auxiliary parameter. Position confirmed from decompiled client ExtData schema.,Inferred,
9028,ExtData[0].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9028,ExtData[0].Val2,1,1,8,AbilityOperation: 8=GetGroupOnAbilityUsed.,Confirmed,
9028,ExtData[0].Val3,1,1,6,AbilityCondition: 6=LessThan.,Confirmed,
9028,ExtData[0].Val4,1,1,9,AbilityLogicOperator: 9=Or.,Confirmed,
9028,ExtData[0].Val6,1,1,14,"Operation-specific reference value (RequirementId child link, ability ID, monster type, or other reference depending on AbilityOperation). Position confirmed from decompiled client ExtData schema.",Inferred,
9028,ExtData[1].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9028,ExtData[1].Val2,1,1,8,AbilityOperation: 8=GetGroupOnAbilityUsed.,Confirmed,
9028,ExtData[1].Val3,1,1,6,AbilityCondition: 6=LessThan.,Confirmed,
9028,ExtData[1].Val4,1,1,9,AbilityLogicOperator: 9=Or.,Confirmed,
9028,ExtData[1].Val6,1,1,24,"Operation-specific reference value (RequirementId child link, ability ID, monster type, or other reference depending on AbilityOperation). Position confirmed from decompiled client ExtData schema.",Inferred,
9028,ExtData[2].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9028,ExtData[2].Val2,1,1,8,AbilityOperation: 8=GetGroupOnAbilityUsed.,Confirmed,
9028,ExtData[2].Val3,1,1,6,AbilityCondition: 6=LessThan.,Confirmed,
9028,ExtData[2].Val6,1,1,19,"Operation-specific reference value (RequirementId child link, ability ID, monster type, or other reference depending on AbilityOperation). Position confirmed from decompiled client ExtData schema.",Inferred,
9029,ExtData[0].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9029,ExtData[0].Val2,1,1,86,AbilityOperation: 86=Unk86.,Confirmed,
9029,ExtData[0].Val3,1,1,1,AbilityCondition: 1=Equal.,Confirmed,
9029,ExtData[0].Val7,1,1,22,Operation-specific auxiliary parameter. Position confirmed from decompiled client ExtData schema.,Inferred,
9030,ExtData[0].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9030,ExtData[0].Val2,1,1,4,AbilityOperation: 4=Range.,Confirmed,
9030,ExtData[0].Val3,1,1,4,AbilityCondition: 4=LessThanEqual.,Confirmed,
9030,ExtData[0].Val4,1,1,8,AbilityLogicOperator: 8=And.,Confirmed,
9030,ExtData[0].Val7,1,1,750,Operation-specific auxiliary parameter. Position confirmed from decompiled client ExtData schema.,Inferred,
9030,ExtData[1].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9030,ExtData[1].Val2,1,1,1,AbilityOperation: 1=FriendlyTargeted.,Confirmed,
9030,ExtData[1].Val3,1,1,1,AbilityCondition: 1=Equal.,Confirmed,
9030,ExtData[1].Val4,1,1,8,AbilityLogicOperator: 8=And.,Confirmed,
9030,ExtData[1].Val7,1,1,1,Operation-specific auxiliary parameter. Position confirmed from decompiled client ExtData schema.,Inferred,
9030,ExtData[2].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9030,ExtData[2].Val2,1,1,18,AbilityOperation: 18=WoundsPercent.,Confirmed,
