RawValue,SourceKey,SourceLabel,ObservationCount,DistinctComponentCount,DistinctAbilityCount,DistinctRequirementCount,SampleComponentIds,SampleAbilityIds,SampleRequirementIds,TriggerSummary,ContextTagSummary,CompanionSummary
1014,Requirement:ExtData[*].Val6,Requirements ExtData[*].Val6,1,0,1,1,,28300,9615,,"Immunity, Knockback, Knockdown, Root, Stagger","Val1=1 (1), Val2=8 (1), Val3=6 (1), Val4=8 (1)"
1002,Requirement:ExtData[*].Val6,Requirements ExtData[*].Val6,8,0,7,8,,"1602, 1906, 8167, 8246, 8554, 9167, 27826","9246, 9300, 9301, 9303, 9447, 9454, 9603, 9614",,Damage,"Val1=1 (8), Val2=6 (8), Val3=6 (7), Val4=9 (7), Val9=1 (4)"
1002,Operation:23:ExtData[*].Val6,APPLY_ABILITY ExtData[*].Val6,1,1,1,0,11717,9580,,OnPreviousComponentApplied,Damage,"Val1=1 (1), Val2=6 (1), Val3=5 (1), Val4=8 (1), Val7=1 (1)"
1002,Operation:38:Value[0],IMMUNITY Value[0],1,1,1,0,24906,13191,,OnPreviousComponentApplied,,"FlagsRaw=1 (1), Value[1]=100 (1)"
1001,Requirement:ExtData[*].Val6,Requirements ExtData[*].Val6,7,0,6,7,,"8167, 8246, 8554, 9244, 9556, 27826","9301, 9302, 9303, 9447, 9454, 9603, 9614",,Damage,"Val1=1 (7), Val2=6 (7), Val3=6 (6), Val9=1 (4), Val4=9 (2)"
1001,Operation:12:ExtData[*].Val6,CC ExtData[*].Val6,1,1,0,0,8617,,,,,"FlagsRaw=2175 (1), Val1=1 (1), Val2=6 (1), Val3=6 (1), Val4=8 (1)"
1001,Operation:38:Value[0],IMMUNITY Value[0],1,1,1,0,24905,13191,,OnPreviousComponentApplied,,"FlagsRaw=1 (1), Value[1]=100 (1)"
3,Operation:23:ExtData[*].Val6,APPLY_ABILITY ExtData[*].Val6,36,36,15,0,"3645, 3817, 3819, 3820, 3822, 3823, 3878, 3882, 5536, 11801, 12078, 14647","1465, 1748, 3313, 3330, 5499, 9250, 10320, 24552, 24553, 24554, 24555, 24556",,OnApply,"Damage, Heal","Val1=1 (35), Val4=8 (34), Val3=1 (32), Val2=17 (30), FlagsRaw=16 (24)"
3,Requirement:ExtData[*].Val6,Requirements ExtData[*].Val6,5,0,2,5,,"3915, 9258","9152, 9213, 9403, 9407, 9554",,Heal,"Val1=1 (5), Val3=6 (4), Val4=9 (4), Val2=17 (3), Val2=82 (2)"
3,Operation:38:Value[0],IMMUNITY Value[0],1,1,1,0,26597,24830,,OnApply,,"Val1=7 (1), Val2=8 (1), Val3=6 (1), Val4=8 (1), Val6=4211 (1)"
4,Operation:23:ExtData[*].Val6,APPLY_ABILITY ExtData[*].Val6,25,25,13,0,"3644, 3820, 3822, 3823, 3877, 3881, 5537, 11801, 12078, 26262, 26263, 26269","1748, 3313, 3330, 5499, 9250, 24552, 24553, 24554, 24555, 24556, 24557, 24558",,OnApply,"Damage, Heal","Val1=1 (24), Val4=8 (24), Val3=1 (22), Val2=17 (21), FlagsRaw=16 (16)"
4,Requirement:ExtData[*].Val6,Requirements ExtData[*].Val6,5,0,3,5,,"3915, 9032, 9258","9295, 9403, 9407, 9438, 9554",,"Damage, Heal","Val1=1 (5), Val4=9 (5), Val3=6 (4), Val2=17 (3), Val2=82 (2)"
4,Operation:12:FlagsRaw,CC FlagsRaw,1,1,1,0,4021,4043,,OnApply,,
12,Operation:38:Value[0],IMMUNITY Value[0],70,70,49,0,"326, 328, 330, 332, 334, 336, 368, 369, 370, 371, 372, 373","158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169",,"OnApply, OnPreviousComponentApplied","CrowdControl, Immunity, Knockback, Knockdown, Root, Snare, Stagger","Val4=8 (61), Value[1]=100 (61), Val3=1 (52), Val2=8 (47), Val1=3 (46)"
12,Requirement:ExtData[*].Val6,Requirements ExtData[*].Val6,4,0,0,4,,,"9620, 9621, 9623, 9624",,,"Val1=1 (4), Val2=44 (4), Val5=3 (4), Val3=1 (2), Val3=6 (2)"
12,Operation:12:FlagsRaw,CC FlagsRaw,2,2,2,0,"23985, 26756","13389, 24882",,"OnApply, OnPreviousComponentTick",,"Val1=2 (2), Val2=15 (2), Val3=1 (2), Val4=8 (2), Val7=1 (2)"
1018,Operation:38:ExtData[*].Val6,IMMUNITY ExtData[*].Val6,36,36,33,0,"326, 328, 330, 332, 334, 336, 463, 464, 465, 466, 467, 468","158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169",,"OnApply, OnPreviousComponentApplied",CrowdControl,"Val2=8 (36), Val3=6 (36), Val4=9 (36), Value[0]=12 (36), Val1=3 (30)"
1018,Requirement:ExtData[*].Val6,Requirements ExtData[*].Val6,4,0,14,4,,"885, 906, 1377, 1740, 3218, 8019, 8330, 8607, 9016, 9253, 9304, 9330","9094, 9216, 9409, 9410",,"Damage, Disarm, Root, Silence","Val1=1 (4), Val3=6 (3), Val2=6 (2), Val2=8 (2), Val3=1 (1)"
1018,Operation:38:Value[0],IMMUNITY Value[0],1,1,1,0,24945,13196,,OnApply,,"FlagsRaw=1 (1), Value[1]=100 (1)"
24,Operation:38:Value[0],IMMUNITY Value[0],8,8,9,0,"358, 496, 10663, 17982, 17995, 27830, 27833, 28308","186, 398, 408, 608, 3180, 10784, 14271, 27832, 28300",,"OnApply, OnPreviousComponentApplied","CrowdControl, Immunity, Knockback, Knockdown, Root, Stagger","Value[1]=100 (8), Val4=8 (5), Val1=7 (4), Val3=6 (4), Val2=8 (3)"
24,Operation:12:FlagsRaw,CC FlagsRaw,4,4,51,0,"21005, 21006, 21007, 21008","12007, 12017, 12136, 12276, 12279, 12336, 12456, 12475, 12638, 12646, 12665, 12718",,"OnApply, OnPreviousComponentApplied",Silence,"Val1=1 (4), Val1=2 (4), Val2=15 (4), Val2=2 (4), Val2=88 (4)"
24,Requirement:ExtData[*].Val6,Requirements ExtData[*].Val6,3,0,0,3,,,"9028, 9047, 9103",,,"Val1=1 (3), Val2=8 (3), Val3=6 (3), Val4=8 (1), Val4=9 (1)"
1015,Operation:38:ExtData[*].Val6,IMMUNITY ExtData[*].Val6,36,36,33,0,"326, 328, 330, 332, 334, 336, 463, 464, 465, 466, 467, 468","158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169",,"OnApply, OnPreviousComponentApplied",CrowdControl,"Val2=8 (36), Val3=6 (36), Val4=9 (36), Value[0]=12 (36), Val1=3 (30)"
1015,Requirement:ExtData[*].Val6,Requirements ExtData[*].Val6,3,0,0,3,,,"9409, 9487, 9488",,,"Val1=1 (3), Val2=8 (2), Val3=6 (2), Val4=8 (2), Val2=6 (1)"
1015,Operation:38:Value[0],IMMUNITY Value[0],2,2,2,0,"12859, 24943","3176, 13196",,OnApply,,"FlagsRaw=1 (2), Val1=2 (1), Val2=1 (1), Val3=1 (1), Val4=8 (1)"
1020,Operation:38:Value[0],IMMUNITY Value[0],4,4,6,0,"13697, 16624, 16655, 18090","13401, 13410, 13416, 13697, 14045, 14477",,OnApply,Immunity,"FlagsRaw=1 (4), Value[1]=100 (4), Val4=8 (2), Val1=2 (1), Val1=3 (1)"
1020,Requirement:ExtData[*].Val6,Requirements ExtData[*].Val6,3,0,1,3,,3948,"9065, 9264, 9296",,,"Val1=1 (3), Val2=8 (2), Val3=6 (2), Val4=8 (2), Val2=6 (1)"
1020,Operation:38:ExtData[*].Val6,IMMUNITY ExtData[*].Val6,2,2,2,0,"18090, 18092","14045, 14477",,OnApply,,"FlagsRaw=1 (2), Val1=3 (2), Val2=8 (2), Val3=6 (2), Val4=8 (2)"
1023,Operation:38:Value[0],IMMUNITY Value[0],2,2,1,0,"3158, 18092",14045,,OnApply,,"FlagsRaw=1 (2), Value[1]=100 (2), Val1=3 (1), Val2=8 (1), Val3=6 (1)"
1023,Operation:12:FlagsRaw,CC FlagsRaw,1,1,1,0,5999,5999,,OnPreviousComponentApplied,,"Val1=2 (1), Val2=15 (1), Val2=6 (1), Val3=1 (1), Val4=8 (1)"
1023,Requirement:ExtData[*].Val6,Requirements ExtData[*].Val6,1,0,1,1,,490,9156,,,"Val1=1 (1), Val2=8 (1), Val3=6 (1), Val4=8 (1)"
38,Operation:12:FlagsRaw,CC FlagsRaw,18,18,12,0,"571, 1489, 1572, 1819, 3295, 3531, 4095, 4267, 8089, 8429, 8450, 8952","1536, 1837, 1865, 3628, 3713, 4129, 8086, 8405, 8495, 9098, 9482, 23034",,"OnApply, OnEventTriggered, OnPreviousComponentApplied","Damage, Disarm","Val1=2 (14), Val2=2 (14), Val3=1 (14), Val4=8 (14), Val7=1 (14)"
38,Operation:38:Value[0],IMMUNITY Value[0],1,1,0,0,25187,,,,,
38,Operation:24:Value[0],KNOCKBACK Value[0],1,1,0,0,4343,,,,,"Val1=2 (1), Val2=2 (1), Val3=1 (1), Val4=8 (1), Val7=1 (1)"
1004,Requirement:ExtData[*].Val6,Requirements ExtData[*].Val6,6,0,6,6,,"1602, 1906, 8167, 9244, 9556, 27826","9300, 9302, 9303, 9454, 9603, 9614",,Damage,"Val1=1 (6), Val2=6 (6), Val3=6 (5), Val4=9 (3), Val9=1 (3)"
1004,Operation:38:Value[0],IMMUNITY Value[0],1,1,1,0,24908,13191,,OnPreviousComponentApplied,,"FlagsRaw=1 (1), Value[1]=100 (1)"
420,Requirement:ExtData[*].Val6,Requirements ExtData[*].Val6,11,0,5,6,,"287, 291, 292, 3436, 9490","9146, 9183, 9184, 9185, 9186, 9187",,Damage,"Val1=1 (11), Val2=3 (11), Val3=4 (5), Val3=5 (5), Val4=8 (5)"
420,Operation:23:ExtData[*].Val6,APPLY_ABILITY ExtData[*].Val6,3,3,0,0,"11471, 11492, 11739",,,,,"Val1=1 (3), Val2=3 (3), Val3=4 (3), Val4=8 (3), Val5=3 (3)"
