GlobalRank,PriorityScore,RawValue,ObservationCount,DistinctSourceCount,DistinctComponentCount,DistinctAbilityCount,DistinctRequirementCount,SourceKeys,ContextTags,SampleAbilityIds,SampleRequirementIds,Interpretation,Notes,Summary
11,401260,1014,10,4,9,10,1,"IMMUNITY ExtData[*].Val6, IMMUNITY Value[0], APPLY_ABILITY ExtData[*].Val6, Requirements ExtData[*].Val6","CrowdControl, Immunity, Knockback, Knockdown, Root, Stagger","186, 187, 408, 3180, 8499, 13196, 14045, 14271, 27832, 28300",9615,Knockback-side control/status literal,Observed beside `IMMUNITY Value[0]=24/46` and adjacent to known knockback-side immunity families. Strong domain read; exact client label is still unresolved.,"Observed 10 time(s) across 4 source group(s): IMMUNITY ExtData[*].Val6, IMMUNITY Value[0], APPLY_ABILITY ExtData[*].Val6, Requirements ExtData[*].Val6"
12,308235,1002,10,3,2,9,8,"Requirements ExtData[*].Val6, APPLY_ABILITY ExtData[*].Val6, IMMUNITY Value[0]",Damage,"1602, 1906, 8167, 8246, 8554, 9167, 9580, 13191, 27826","9246, 9300, 9301, 9303, 9447, 9454, 9603, 9614",,,"Observed 10 time(s) across 3 source group(s): Requirements ExtData[*].Val6, APPLY_ABILITY ExtData[*].Val6, IMMUNITY Value[0]"
13,307184,1001,9,3,2,7,7,"Requirements ExtData[*].Val6, CC ExtData[*].Val6, IMMUNITY Value[0]",Damage,"8167, 8246, 8554, 9244, 9556, 13191, 27826","9301, 9302, 9303, 9447, 9454, 9603, 9614",,,"Observed 9 time(s) across 3 source group(s): Requirements ExtData[*].Val6, CC ExtData[*].Val6, IMMUNITY Value[0]"
14,305492,3,42,3,37,18,5,"APPLY_ABILITY ExtData[*].Val6, Requirements ExtData[*].Val6, IMMUNITY Value[0]","Damage, Heal","1465, 1748, 3313, 3330, 3915, 5499, 9250, 9258, 10320, 24552, 24553, 24554","9152, 9213, 9403, 9407, 9554",,,"Observed 42 time(s) across 3 source group(s): APPLY_ABILITY ExtData[*].Val6, Requirements ExtData[*].Val6, IMMUNITY Value[0]"
15,305456,4,31,3,26,17,5,"APPLY_ABILITY ExtData[*].Val6, Requirements ExtData[*].Val6, CC FlagsRaw","Damage, Heal","1748, 3313, 3330, 3915, 4043, 5499, 9032, 9250, 9258, 24552, 24553, 24554","9295, 9403, 9407, 9438, 9554",,,"Observed 31 time(s) across 3 source group(s): APPLY_ABILITY ExtData[*].Val6, Requirements ExtData[*].Val6, CC FlagsRaw"
16,305351,12,76,3,72,51,4,"IMMUNITY Value[0], Requirements ExtData[*].Val6, CC FlagsRaw","CrowdControl, Immunity, Knockback, Knockdown, Root, Snare, Stagger","158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169","9620, 9621, 9623, 9624",,,"Observed 76 time(s) across 3 source group(s): IMMUNITY Value[0], Requirements ExtData[*].Val6, CC FlagsRaw"
17,305241,1018,41,3,37,48,4,"IMMUNITY ExtData[*].Val6, Requirements ExtData[*].Val6, IMMUNITY Value[0]","CrowdControl, Damage, Disarm, Root, Silence","158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169","9094, 9216, 9409, 9410",,,"Observed 41 time(s) across 3 source group(s): IMMUNITY ExtData[*].Val6, Requirements ExtData[*].Val6, IMMUNITY Value[0]"
18,304515,24,15,3,12,60,3,"IMMUNITY Value[0], CC FlagsRaw, Requirements ExtData[*].Val6","CrowdControl, Immunity, Knockback, Knockdown, Root, Silence, Stagger","186, 398, 408, 608, 3180, 10784, 12007, 12017, 12136, 12276, 12279, 12336","9028, 9047, 9103",,,"Observed 15 time(s) across 3 source group(s): IMMUNITY Value[0], CC FlagsRaw, Requirements ExtData[*].Val6"
19,303916,1015,41,3,38,35,3,"IMMUNITY ExtData[*].Val6, Requirements ExtData[*].Val6, IMMUNITY Value[0]",CrowdControl,"158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169","9409, 9487, 9488",Knockdown control/status literal,Recovered from toolkit enum-backed immunity notes and reinforced by nearby requirement and immunity families.,"Observed 41 time(s) across 3 source group(s): IMMUNITY ExtData[*].Val6, Requirements ExtData[*].Val6, IMMUNITY Value[0]"
20,303184,1020,9,3,5,7,3,"IMMUNITY Value[0], Requirements ExtData[*].Val6, IMMUNITY ExtData[*].Val6",Immunity,"3948, 13401, 13410, 13416, 13697, 14045, 14477","9065, 9264, 9296",,,"Observed 9 time(s) across 3 source group(s): IMMUNITY Value[0], Requirements ExtData[*].Val6, IMMUNITY ExtData[*].Val6"
21,301079,1023,4,3,3,3,1,"IMMUNITY Value[0], CC FlagsRaw, Requirements ExtData[*].Val6",,"490, 5999, 14045",9156,,,"Observed 4 time(s) across 3 source group(s): IMMUNITY Value[0], CC FlagsRaw, Requirements ExtData[*].Val6"
22,300320,38,20,3,20,12,0,"CC FlagsRaw, IMMUNITY Value[0], KNOCKBACK Value[0]","Damage, Disarm","1536, 1837, 1865, 3628, 3713, 4129, 8086, 8405, 8495, 9098, 9482, 23034",,,,"Observed 20 time(s) across 3 source group(s): CC FlagsRaw, IMMUNITY Value[0], KNOCKBACK Value[0]"
23,206182,1004,7,2,1,7,6,"Requirements ExtData[*].Val6, IMMUNITY Value[0]",Damage,"1602, 1906, 8167, 9244, 9556, 13191, 27826","9300, 9302, 9303, 9454, 9603, 9614",,,"Observed 7 time(s) across 2 source group(s): Requirements ExtData[*].Val6, IMMUNITY Value[0]"
24,206139,420,14,2,3,5,6,"Requirements ExtData[*].Val6, APPLY_ABILITY ExtData[*].Val6",Damage,"287, 291, 292, 3436, 9490","9146, 9183, 9184, 9185, 9186, 9187",,,"Observed 14 time(s) across 2 source group(s): Requirements ExtData[*].Val6, APPLY_ABILITY ExtData[*].Val6"
