AbilityId,Name,CoverageStatus,EffectId,HasClientCsv,HasClientBin,HasLocalizedName,HasDescriptionText,HasEffectText,HasRootEffectRow,RelatedEffectCount,ComponentCount,RequirementLinkCount,RequirementRowCount,HasPregameReference,SourcesText,MissingText
106,Shaman Console Test 1,Mapped,106,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,0,No,"csv, bin, strings",(none)
107,Shaman Console Test 2,Mapped,107,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,0,No,"csv, bin, strings",(none)
108,Shaman Console Test 3,Mapped,108,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,0,No,"csv, bin, strings",(none)
109,Hammerer Console Test 1,Mapped,109,Yes,Yes,Yes,Yes,Yes,Yes,2,1,0,0,No,"csv, bin, strings",(none)
110,Hammerer Console Test 2,Mapped,110,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,0,No,"csv, bin, strings",(none)
111,Hammerer Console Test 3,Mapped,111,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,0,No,"csv, bin, strings",(none)
112,Engineer Console Test 1,Mapped,112,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,0,No,"csv, bin, strings",(none)
113,Engineer Console Test 2,Mapped,113,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,0,No,"csv, bin, strings",(none)
114,Engineer Console Test 3,Mapped,114,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,0,No,"csv, bin, strings",(none)
115,Bright Wizard Console Test 1,Mapped,115,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,0,No,"csv, bin, strings",(none)
116,Bright Wizard Console Test 2,Mapped,116,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,0,No,"csv, bin, strings",(none)
117,Bright Wizard Console Test 3,Mapped,117,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,0,No,"csv, bin, strings",(none)
118,Magus Console Test 1,Mapped,118,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,0,No,"csv, bin, strings",(none)
119,Magus Console Test 2,Mapped,119,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,0,No,"csv, bin, strings",(none)
120,Magus Console Test 3,Mapped,120,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,0,No,"csv, bin, strings",(none)
121,; TEST Abilities for Ellisa designed: 9/14,StringsOnly,,No,No,Yes,Yes,Yes,No,0,0,0,0,No,strings,"csv, bin, effect-row, components"
122,Grasp of the Dead,MappedWithRequirements,1886,Yes,Yes,Yes,Yes,Yes,Yes,1,2,1,1,No,"csv, bin, strings, requirements",(none)
123,Gut Ripper,Mapped,1887,Yes,Yes,Yes,Yes,Yes,Yes,3,1,0,0,No,"csv, bin, strings",(none)
124,Raven’s Bite,MappedWithRequirements,1888,Yes,Yes,Yes,Yes,Yes,Yes,1,1,3,3,No,"csv, bin, strings, requirements",(none)
125,Storm of Ravens,Mapped,1889,Yes,Yes,Yes,Yes,Yes,Yes,1,2,0,0,No,"csv, bin, strings",(none)
126,; TEST /end,StringsOnly,,No,No,Yes,Yes,Yes,No,0,0,0,0,No,strings,"csv, bin, effect-row, components"
127,Main Hand Weap,MappedWithRequirements,1872,Yes,Yes,Yes,Yes,Yes,Yes,1,1,6,6,No,"csv, bin, strings, requirements",(none)
128,Off Hand Weap,MappedWithRequirements,1873,Yes,Yes,Yes,Yes,No,Yes,1,1,6,6,No,"csv, bin, strings, requirements",effect-text
129,Both Hand Weap,MappedWithRequirements,1874,Yes,Yes,Yes,Yes,No,Yes,1,1,6,6,No,"csv, bin, strings, requirements",effect-text
130,Tags on Main (Both have fx trails),MappedWithRequirements,1875,Yes,Yes,Yes,Yes,No,Yes,1,1,6,6,No,"csv, bin, strings, requirements",effect-text
131,Tags on Off (Both have fx trails),MappedWithRequirements,1876,Yes,Yes,Yes,Yes,No,Yes,1,1,6,6,No,"csv, bin, strings, requirements",effect-text
132,(unnamed),BlankSlot,,No,No,Yes,Yes,No,No,0,0,0,0,No,strings,"csv, bin, effect-text, effect-row, components"
133,Test Charm,Mapped,755,Yes,Yes,Yes,Yes,No,Yes,61,1,0,0,No,"csv, bin, strings",effect-text
134,(unnamed),BlankSlot,,No,No,Yes,Yes,No,No,0,0,0,0,No,strings,"csv, bin, effect-text, effect-row, components"
135,; TEST Abilities for DE Start - production??,StringsOnly,,No,No,Yes,Yes,No,No,0,0,0,0,No,strings,"csv, bin, effect-text, effect-row, components"
136,Black Fire Breath,Mapped,1877,Yes,Yes,Yes,Yes,No,Yes,4,2,0,0,No,"csv, bin, strings",effect-text
137,Black Fireball (Small),Mapped,1878,Yes,Yes,Yes,Yes,No,Yes,9,1,0,0,No,"csv, bin, strings",effect-text
138,Black Fireball (AOE),Mapped,1879,Yes,Yes,Yes,Yes,No,Yes,28,1,0,0,No,"csv, bin, strings",effect-text
139,Sun Fire Breath,Mapped,1880,Yes,Yes,Yes,Yes,No,Yes,6,2,0,0,No,"csv, bin, strings",effect-text
140,Sun Fireball (Small),Mapped,1881,Yes,Yes,Yes,Yes,No,Yes,5,1,0,0,No,"csv, bin, strings",effect-text
141,Sun Fireball (AOE),Mapped,1882,Yes,Yes,Yes,Yes,No,Yes,5,1,0,0,No,"csv, bin, strings",effect-text
142,Bite Single Target,Mapped,1883,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
143,Multi Target Claw Swipe,Mapped,1884,Yes,Yes,Yes,Yes,No,Yes,3,1,0,0,No,"csv, bin, strings",effect-text
144,Stomp,Mapped,1885,Yes,Yes,Yes,Yes,No,Yes,3,3,0,0,No,"csv, bin, strings",effect-text
145,; TEST /end,StringsOnly,,No,No,Yes,Yes,No,No,0,0,0,0,No,strings,"csv, bin, effect-text, effect-row, components"
146,(unnamed),BlankSlot,,No,No,Yes,Yes,No,No,0,0,0,0,No,strings,"csv, bin, effect-text, effect-row, components"
147,(unnamed),BlankSlot,,No,No,Yes,Yes,No,No,0,0,0,0,No,strings,"csv, bin, effect-text, effect-row, components"
148,(unnamed),BlankSlot,,No,No,Yes,Yes,No,No,0,0,0,0,No,strings,"csv, bin, effect-text, effect-row, components"
149,(unnamed),BlankSlot,,No,No,Yes,Yes,No,No,0,0,0,0,No,strings,"csv, bin, effect-text, effect-row, components"
150,AT Stun,Mapped,345,Yes,Yes,Yes,Yes,No,Yes,9,1,0,0,No,"csv, bin, strings",effect-text
151,AT Knockdown,Mapped,345,Yes,Yes,Yes,Yes,No,Yes,9,1,0,0,No,"csv, bin, strings",effect-text
152,AT Knockback,Mapped,345,Yes,Yes,Yes,Yes,No,Yes,9,1,0,0,No,"csv, bin, strings",effect-text
153,AT Stun AOE,Mapped,345,Yes,Yes,Yes,Yes,No,Yes,9,1,0,0,No,"csv, bin, strings",effect-text
154,AT Knockdown AOE,Mapped,345,Yes,Yes,Yes,Yes,No,Yes,9,1,0,0,No,"csv, bin, strings",effect-text
155,AT Knockback AOE,Mapped,345,Yes,Yes,Yes,Yes,No,Yes,9,1,0,0,No,"csv, bin, strings",effect-text
156,Effect Test,Mapped,1,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
157,Melee Channel,Mapped,1971,Yes,Yes,Yes,Yes,No,Yes,9,1,0,0,No,"csv, bin, strings",effect-text
158,Test T1R1 Attack,Mapped,1,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
159,Test T1R2 Attack,Mapped,1,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
160,Test T1R3 Attack,Mapped,1,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
161,Test T1R4 Attack,Mapped,1,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
162,Test T1R5 Attack,Mapped,1,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
163,Test T1R6 Attack,Mapped,1,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
164,Test T1R7 Attack,Mapped,1,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
165,Test T1R8 Attack,Mapped,1,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
166,Test T1R9 Attack,Mapped,1,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
167,Test T1R10 Attack,Mapped,1,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
168,Test T2R1 Attack,Mapped,1,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
169,Test T2R2 Attack,Mapped,1,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
170,Test T2R3 Attack,Mapped,1,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
171,Test T2R4 Attack,Mapped,1,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
172,Test T2R5 Attack,Mapped,1,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
173,Test T2R6 Attack,Mapped,1,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
174,Test T2R7 Attack,Mapped,1,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
175,Test T2R8 Attack,Mapped,1,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
176,Test T2R9 Attack,Mapped,1,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
177,Test T2R10 Attack,Mapped,1,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
178,Test T3R1 Attack,Mapped,1,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
179,Test T3R2 Attack,Mapped,1,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
180,Test T3R3 Attack,Mapped,1,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
181,Test T3R4 Attack,Mapped,1,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
182,Test T3R5 Attack,Mapped,1,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
183,Test T3R6 Attack,Mapped,1,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
184,Test T3R7 Attack,Mapped,1,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
185,Test T3R8 Attack,Mapped,1,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
186,Test T3R9 Attack,Mapped,1,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
187,Test T3R10 Attack,Mapped,1,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
188,Defense Event test,Mapped,1299,Yes,Yes,Yes,Yes,No,Yes,1,2,0,0,No,"csv, bin, strings",effect-text
189,Test T2R5 Ranged Attack,Mapped,1,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
190,Test T2R5 Magic Attack,Mapped,1,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
191,Test Huge Melee Crit Buff,Mapped,1,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
192,Test Huge Ranged Crit Buff,Mapped,1,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
193,Test Huge Magic Crit Buff,Mapped,1,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
194,(unnamed),BlankSlot,,No,No,Yes,Yes,No,No,0,0,0,0,No,strings,"csv, bin, effect-text, effect-row, components"
195,Nate's Test Ability One,Mapped,150,Yes,Yes,Yes,Yes,No,Yes,3,3,0,0,No,"csv, bin, strings",effect-text
196,Nate's Test Ability Two,Mapped,150,Yes,Yes,Yes,Yes,No,Yes,3,1,0,0,No,"csv, bin, strings",effect-text
197,Nate's Test Ability Three,Mapped,150,Yes,Yes,Yes,Yes,No,Yes,3,1,0,0,No,"csv, bin, strings",effect-text
198,Rob's Test Abilily,Mapped,833,Yes,Yes,Yes,Yes,No,Yes,34,2,0,0,No,"csv, bin, strings",effect-text
199,Chad's Test Knockback abil,Mapped,248,Yes,Yes,Yes,Yes,No,Yes,1,1,0,0,No,"csv, bin, strings",effect-text
200,Corbin's Test Ability,Mapped,67,Yes,Yes,Yes,Yes,No,Yes,1,1,0,0,No,"csv, bin, strings",effect-text
201,Self AP Mastery,Mapped,2085,Yes,Yes,Yes,Yes,No,Yes,19,5,0,0,No,"csv, bin, strings",effect-text
202,Bonus Testing,Mapped,150,Yes,Yes,Yes,Yes,No,Yes,3,1,0,0,No,"csv, bin, strings",effect-text
203,Corbin's Test Ability 2,Mapped,150,Yes,Yes,Yes,Yes,No,Yes,3,2,0,0,No,"csv, bin, strings",effect-text
